****Dialogues from script :TRON.txt****

fourth draft screenplay by		Charlie Haas April 6, 1981 BLACKNESS
moloch		Illegal--I don't use drugs. Rorschach pulls a PILL BOTTLE from his coat.
rorschach		Laetril. Phony medication made from apricot pits. Illegal.
moloch		oh c-come on. Look, please don't confiscate that. I'm trying anything . I have cancer.
rorschach		What kind of cancer?
moloch		The kind you don't get better from.
rorschach		Fine. You're off the hook, for now. If you remember anything else, leave me a note in the trash can opposite the Gunga Diner at Fortieth and Seventh. Keep out of trouble, Moloch.
laurie		Mmm. What time do you have to be at your TV interview?
laurie		Hey, your finger, it's like licking a battery. It's all-- She opens her eyes. They widen in shock and horror as she sees TWO DR. MANHATTANS in bed with her.
laurie		Forget about it. I overreacted. It was just strange to see-- Laurie can now see into the KITCHEN, where yet a THIRD DR. MANHATTAN is working on an experiment. Her eyes blaze.
laurie		Understand!? You're working in here at the same time we're in bed!?
laurie		Shut up! Just SHUT YOUR MOUTH! Laurie WHIPS a full BEAKER at 3's chest. It PASSES THROUGH HIM and SMASHES IN THE KITCHEN SINK. Laurie storms out.
laurie		Human emotion? You were human once. That's the problem, Jon. You've forgotten that.
dan		Who is it?
dan		Laurie? It takes a few moments for him to open the door.
laurie		I left Jon.
dan		Did, uh, the Secret Service follow you here?
laurie		I lost them in the subways. I think.
dan		I'm really sorry, Laurie.
laurie		Living with him . Dan, you don't know what it's been like. INTERCUT TO: Dr. Manhattan, holding Laurie's BRA. Staring.
laurie		I hope I didn't ruin your night.
dan		Not at all. I was just going to see Hollis for our weekly beer session. You're more than welcome to join. In fact, I insist They pass the news stand from the opening scene. The Homeless Man is arguing with the News Vendor:
news vendor		--I told you, this month's issue still hasn't arrived yet! Why do you care about that right wing rag so much? Cuz those bastards don't give a damn about you, pal! They--hold up, here it comes. They turn as SEYMOUR, a fat slob of a man, arrives with a BUNDLE of the latest issue of "The New Frontiersman." CUT TO: Dr. Manhattan stepping THROUGH and INTO the empty, floating suit. His TIE knots itself. Dr. Manhattan looks around the empty room . sad? Again, he looks at the photo of him and Janey Slater . . then
dan		Laurie, will you please stop apologizing? I'm here for you anytime. SHADOWS trail behind them, ominous. Someone's following.
laurie		I know. I just find it rude when people show up at your door--
producer		Terrific. Dr. Manhattan arrives and no one thinks to tell me?
receptionist		He, he just--
producer		All geez. We don't have time for make-up. That blue is too light for television. The light from Dr. Manhattan's SKIN DARKENS to a DEEPER BLUE.
producer		Uh, yeah
press agent		Just another reminder that if the second Geneva Convention comes up, our official position is that talks will not resume until the Chinese agree to exclude you from the agenda. The President approved this interview because he wanted to strengthen morale at home and to gently remind the rest of the world who holds the cards. Please keep that in mind. Dr. Manhattan stands off stage, waiting. The LIGHTS come up and we're live with the glossy NEWS HOST.
news host		He's been called many things; Hero, weapon, linchpin of our security-- CUT TO: Dan and Laurie turning as the Young Thugs BLOCK THE ALLEYWAY. One of the Thugs pulls a KNIFE. Laurie and Dan exchange a look. Dan removes his glasses. CUT BACK TO:
news host		Thank you, Dr. Manhattan, and not simply for appearing on this program. I believe I speak for all of America when I thank you for thwarting the terrorist plot at the port of Long Beach over a week ago-- Furious applause from the audience, which Dr. Manhattan regards curiously.
news host		Before we start, I want to explain to our viewers the unconventional format for this interview. Our live audience is made up entirely of news media and Dr. Manhattan will be taking questions from the floor. This commercial free broadcast is presented to you by Veidt Enterprises. We see Adrian standing near the audience with the Press Agent, smiling for the camera.
doug roth		Dr. Manhattan, Doug Roth, Nova Times. Do you remember a man named Wally Weaver?
doug roth		He died of cancer.
doug roth		How about Edgar Jacobi, also known as the supervillian Moloch? You had a lot of battles with him, didn't you? Did you know that he has cancer as-well? The News Host looks confused. Adrian turns to the Press Agent, growing concerned with where this is leading. CUT TO: Dan, snapping the GUNMAN'S wrist back and up-- Barrel aimed at the Thug's CHIN. In the last fraction of a second, Dan SHIFTS the gun two inches left as it FIRES, deafening the Thug, but leaving him alive. BACK TO:
doug roth		And what about Jose Flores? He was the longtime janitor at the Watchmen Headquarters where you worked for many years. Cancer.
doug roth		You tell me, doc. Adrian turns to him.
adrian		Doug, that `s enough.
doug roth		Irrelevant?
doug roth		What about Janey Slater? Do you think it makes a difference to her?
doug roth		Your ex-girlfriend, she was a physicist too. You were with her for ten years. Or does she have to remind you herself? Suddenly Janey Slater emerges from a door at the top of the stands. She is old now, frail, barely recognizable from the images we've see of her.
janey slater		D-damn you, Jon. God damn you
adrian		We need to stop this now. Adrian and the Press Agent hurry on stage, SECURITY following.
press agent		That's it! Interview's over! BACK TO: The alley, littered with the unconscious BODIES of the Thugs. Laurie and Dan lean back on the wall, gasping for air, horribly out of shape, but victorious. CUT TO: The TV studio, as Adrian and Security surround Dr. Manhattan, trying to escort him out. The audience spills out of the stands, RUSHING Dr. Manhattan with questions and, FLASHING cameras--it's madness. Adrian shoves a camera out of Dr. Manhattan's face.
adrian		As the sponsor of this program I demand all cameras off! His plea is futile, of course. A REPORTER breaks through, gets in Dr. Manhattan's face.
reporter 1		Did you give Ms. Slater cancer by sleeping with her?
reporter 2		Do you even care about human life?
adrian		Everyone back off! Don't you understand? He's the only thing preventing the world from chaos!
doug roth		How many other people did you do this to? Dr. Manhattan finally SNAPS--
laurie		I should find a hotel. God. Imagine, us getting mugged.
dan		Why don't you come by Hollis' with me? Shake off the adrenaline.
laurie		No thanks, I've had enough hero stuff for one night.  You take care, Dan. It's a dangerous world out there.
hollis		You're late.
dan		I know, you won't believe it--
hollis		You missed it--Dr. Manhattan just lost it on live TV.
dan		Wait, what? Dan turns to the TV, which replays the clip of Dr. Manhattan being accosted and then teleporting everyone to the roof.
hollis		She'll know soon enough. The whole world will know.
laurie		You're the Comedian, right? You were pretty cool in there. Blake lights a smoke, looks her over.
blake		You got your mom's eyes. Even that funny little mole.
laurie		Got another smoke?
blake		She was one of the all-time champion beauties, your mom. She talk about me much?
laurie		No. Not really. As Blake gives her a light, Laurie touches his hand to cover the lighter from the wind. She looks up at him, sly.
blake		Hey Doll. Long time no see.
sally		Not long enough in my book, Eddie. She eyes Laurie with cool death.
blake		Christ, we were just talking! Can't a guy talk to his, y'know, friend's daughter? What the hell do you think I am?
sally		I know what you are, Eddie. I've always known. Don't ever forget that. Driving off, Laurie watches Blake through the window--
agent forbes		Ms. Jupiter, you need to come with us now.
laurie		I don't understand, what do you mean, Jon's gone?
agent forbes		I mean he snapped and disappeared during the interview. Now our trackers can't detect him anywhere on the planet. If we want to find him you're our only hope. A TECHNICIAN wires Laurie up; GRAPHS record Laurie's neural responses, MONITORS show satellite images.
technician 1		Miss Jupiter, we need you to visualize Dr. Manhattan. Do you need a prompt?
laurie		No.
technician 2		Neurotransmissions tracking.
technician 3		Transmitting on all frequencies.
technician 1		We're ready Miss Jupiter. We need you to try and talk to him. Laurie, wired like a porcupine, seems embarrassed.
laurie		Jon? Jon, can you hear me? The GRAPH-NEEDLES jump and tick, searching . when a high, clear TONE rings through the room. Needles fly. Technicians dash to lock it down. Agent Forbes hurries to the graph, looking over their shoulders.
agent forbes		Have you got him?
technician 1		We've located his signal, yes.
agent forbes		Well? Where the hell is he? The Technician looks up, not happy about the answer.
technician 1		He's on Mars.
