****Dialogues from script :White_Squall.txt****

minister		I didn't know Richard Sheldrake personally, but his many friends who knew and worked with him, wanted to make sure that he was returned home, here, to be remembered with his beloved wife...
patricia		I use a wonderful over-the-counter drug, Ultrasom.  Don't take the whole thing, just half, and you will wake up without even that tiniest hangover.  You're Frank Navasky, aren't you?
frank		Yes.
patricia		Your last piece in the Independent, the one about Anthony Powell, was brilliant. I'm Patricia Eden, Eden Books.  Joe, this man is the greatest living expert on Julius and Ethel Rosenberg --
joe		And this is Kathleen Kelly --
frank		You liked my piece.  God, I'm flattered. You know you write these things and you think someone's going to mention them and then the whole week goes by and the phone doesn't ring, and you think Oh, God, I'm a fraud, a failure --
patricia		You know what's always fascinated me about Julius and Ethel Rosenberg is how old they looked when they were really just our age.
patricia		 I'm so happy to have finally met you.  We will talk.  Have you ever thought about doing a book?
frank		Oh sure, it's passed through my head. Something really relevant for today like the Luddite movement in 19th century England.
joe		Patricia --
kathleen		Frank --
frank		I really like Patricia Eden.  She's a very nice person.
frank		She needs educating, that's all.
frank		She's hopelessly driven by money and power, but there's a hope for anyone who's that familiar with my work --
patricia		I had no idea that Frank Navasky was so down-to-earth.
patricia		You read his stuff, you think he's going to be so obscure and abstruse.
joe		I'm not really tired.
kathleen		Meet?  Omigod.
joe		No pickets, no demonstrations.
kevin		The neighborhood loves us.
nelson		They're wondering where we've been all these years.  They're wondering how they ever did without it.
schuyler		It's a hit.
nelson		How's the children's book department?
joe		It's early yet.  School isn't out.  And there's that children's bookstore nearby --
schuyler		Cecilia's store --
joe		Her daughter's --
nelson		We'll crush it --
schuyler		She was enchanting.
birdie		About $1200 less than the same week last year.
kathleen		That could be a fluke, right?
birdie		Or not.
kathleen		Their store is new.  It's a novelty.  But it will all shake out.  Do you think I should put up more twinkle lights?
birdie		That's a lovely idea.
christina		What if we have to fold?  I'll never find another part time job and I won't be able to pay the rent and I'll have to move to Brooklyn.
george		The joy of rent control.  Six room for $450 a month.
christina		We know.  You've told us a million times. I can't believe you're bringing it up at a time like this.  It's like bragging because you're tall.  Birdie never brags about her rent and she pays even less than you.
birdie		Ten rooms.  I just rattle around from one to the other.
kathleen		Hey, guys.  We are not going to fold.
meredith		George Pappas?
george		 Yes.
meredith		 Detective Carter, 23rd precinct.  I'd like to ask you a few questions.
kathleen		George?  Where are you going?
laura		Kathleen, are you surviving?
kathleen		Laura!  We're so excited about your new book.  When should we schedule your signing?
laura		Oh, it's being published in January. Are you going to be in business in January?  I'm so worried.
kathleen		We're doing great, aren't we?
christina		Great.
birdie		No difference whatsoever.
laura		Thank God.  Well, you know you can count on me.  For anything, support, rallies. Picket lines.  We can get the Times to write something.  Or that nut in the Independent --
kathleen		What nut in the Independent?
laura		Frank Navasky.  This is just the sort of thing that would outrage him.
meredith		Mr. Pappas, I'm investigating the murder of the woman found on the roof of your building.  Do you live alone there?
george		Do I live alone?  Yes I do.  Do you live alone?
meredith		Yes.
meredith		 What are you doing?
george		I don't know.  I have no idea.
meredith		You have to stop.
george		I can't.
cashier		This is a Cash Only line.
kathleen		What?
cashier		Cash Only.
kathleen		Omigod, I only have a credit card.  Is that okay?
cashier		There's a sign.
another person		Get on another line, lady.
joe		Oh, hello.
kathleen		Hello.
joe		Do you need some money?
kathleen		No, I don't need any money.  Thank you very much.
cashier		Get on another line.
joe		Hi.  Rose. Great name.  Rose, this is Kathleen, I'm Joe, and this is a credit card machine.  Happy Thanksgiving.
rose		Happy Thanksgiving back.
joe		Mississippi is a hard word to spell.  How do you spell it?  I-T.  Now take this credit card and put it through the machine, zip zip.
joe		So you're fine.
kathleen		Fine.
joe		Happy Thanksgiving.
annabel		The sun'll come up tomorrow, bet your bottom dollar that tomorrow, there'll be sun --
young kathleen		Hey, watch out --
kathleen		 The Godfather?
patricia		Look what I bought.
patricia		I was just passing this store on Columbus Avenue and it caught my eye.
joe		What is it?
patricia		A Menorah. JOE It doesn't look like a Menorah.
patricia		I know.  I don't know what came over me. I don't even celebrate Hanukkah.
kathleen		Frank, I've decided to go to the mattresses.  Do you think it would be a gigantic conflict of interest if you wrote something about us?
birdie		 "Kathleen Kelly and her mother Cecilia Kelly have raised your children.  If this precious resource is killed by the cold cash cow of Foxbooks, it will not only be the end of Western civilization as we know it, but the end of something even dearer: our neighborhood as we know it. Save the Shop Around the Corner and you will save your own soul."  Frank, that's charming.
frank		You think it's a little over the top?
birdie		Just say thank you.
frank		Thank you.
christina		 Channel 2's outside.
kathleen		In a second.
george		 The Village Voice is coming.
kathleen		Omigod.
frank		 It's him.
kathleen		Who?
frank		God. It is God.
william spungeon		I'm William Spungeon.
kathleen		I'm very pleased to meet you.  I'm Kathleen Kelly.
spungeon		I knew your mother.  Although she knew me only as W.  That enormous bookstore is obscene.
frank		I'm Frank Navasky.  I carry your picture in my wallet.
kathleen		We've organized pickets.  Channel 13 is doing a special.
spungeon		I'd be glad to talk to the press if it's all right with you.  They've been trying to interview me for years.
frank		The press?  I'm the press.
kathleen		You'd allow that?  For me?  For the store?  That's incredible.  Although you wouldn't have to be photographed.  I respect that.  If it's television, they could just put one of those blurry dots in front of your face.
spungeon		No television.
christina		 They're waiting for you --
frank		I know all your books.  Phaelox the gnome, the little man who comes from nowhere... and is going nowhere...  "Where did you come from?"  "Nowhere." "Where are you going?"  "Nowhere."
spungeon		Cool it.  I'm starting to break out in hives.  Here's my phone number.
kathleen		I had no idea William Spugeon had a phone.
spungeon		Adios.
frank		This is historic.  Do you realize what I've done?  By writing that piece, do you realize? I've brought William Spungeon in from the cold. Holy shit.  I am completely amazing.
tv reporter		Kathleen Kelly?
kathleen		Luca Brasi sleeps with the fishes.
kathleen		Never mind.  I'm ready.  Shoot.
kathleen		They have to have discounts and lattes, because most of the people who work there have never read a book.
joe		She's not as nice as she seems on television.
kevin		You've met her?
joe		She's kind of a pill.
kevin		She's probably not as attractive as she seems on television either.
joe		No, she's beautiful.  But a pill.
kevin		So you don't feel bad about basically destroying her livelihood not to mention her legacy not to mention her raison d'etre.
joe		It's not personal --
kevin		It's business.
joe		Right.  Exactly.
joe		I sell cheap books.  Sue me.  I sell cheap books, and as a result -- listen to this, because it's really bad -- more people can buy books.
kevin		That's what you said?
joe		 That's not all I said.  I said -- I can't believe those bastards -- I said we were great, I said people can come and sit and read for hours and no one bothers them, I said we stock 150,000 titles, I showed them the New York City section.  I said we were a goddamn piazza where people could mingle and mix and be.
kevin		A piazza?
joe		I was eloquent.  Shit.  It's just inevitable, isn't it?  People are going to want to turn her into Joan of Arc --
kevin		-- and you into Attila the Hun.
joe		Well it's not me personally, it's more like it's the company --
kathleen		 And I have to say, I have met Joe Fox, who owns Foxbooks, and I have heard him compared his store to a Price Club and the books in it to cans of olive oil.
