****Dialogues from script :Kung_Fu_Panda.txt****

final draft		June 3, 2008
jay		The bug in the Edgar suit! The ugly redneck from the picture! That's him!
kay		 Damn it.
kay		We do not discharge our weapons in view of the public.
jay		Can we drop the cover-up bullshit?! There's an Alien Battle Cruiser that's gonna blow-up the world if we don't...
kay		There's always an Alien Battle Cruiser...or a Korlian Death Ray, or...an intergalactic plague about to wipe out life on this planet, and the only thing that lets people get on with their hopeful little lives is that they don't know about it.
kay		Don't worry about the bug. He's not leaving town. We've got his ship.
kay		 Zed, we're gonna need a containment crew down here at McDougal, south of Houston.
zed		Containment may be a moot point, my friend. The exodus continues. It's like the party's over and the last one to leave gets stuck with the check.
zed		You sorry little ingrates!
zed		We've only translated a part of the message so far: "Deliver the Galaxy."
zed		Oh, it gets better... They're holding us responsible.
zed		Another contestant has entered the ring.
kay		All right, kid. The Arquillians want the galaxy, whatever the hell that means. We need help. A professional. Someone with years of experience in intergalactic politics. I just hope the little prick hasn't skipped town.
edgar		Where do you keep your dead?
vendor		 I don't have any dead.
edgar		Where?!
vendor		I don't know, the city morgue!
jay		Of course that guy's an alien. That's gotta be the worst disguise I've ever seen.
kay		You busy, Frank?
kay		Call the pound. We got a stray.
jay		The, uh...dog owes my friend some money.
kay		 Arquillians and bugs. What do you know?
kay		Not a thing?
kay		And the bug had other plans.
jay		Ask him about the belt.
kay		 Rosenberg said something about a galaxy on "Orion's belt." What's he talking about, Frank?
jay		 They're rehearsing a ventriloquist act.
kay		Here?
jay		The galaxy is hundreds of millions of stars and planets? How's it here?
kay		How small?
kay		 The galaxy's here. It's not on Orion's belt.
jay		Kay...
laurel		Boy, when you want attention --
laurel		Wow.
jay		So two galaxies have been fighting for years. And the only people who've been benefiting are a race of creatures called bugs. Then the two galaxies decide to make peace...and the bugs send this guy down to make sure the fighting never stops.
kay		By killing the emissaries, and stealing the galaxy they've been fighting about.
jay		And if we don't get it back before he leaves the planet...we're history.
kay		We're not even history. 'Cause history implies there's someone around to remember it.
tony		Thank you for making sure the bell works.
edgar		A man came in here earlier. A dead man.
tony		And this means what to me?
edgar		He was a very dear friend of mine. And I believe he had an animal with him. A gift I gave him, a pet cat that means worlds to me. I would like it back.
tony		I'll need a picture ID, written proof of ownership of the cat, or notarized proof of kinship with --
edgar		Don't -- do that.
tony		Do what?
jay		I'll handle this one, you wait outside.
kay		What the hell for?
jay		Because all we have to do is walk in and get a cat, it's not that hard. But if you go in, you're gonna lay your Jack Webb on her and flash your brain ray in her face and she's gonna end up with leukemia or some shit. The woman's a doctor, she doesn't need you erasing half her med school classes. Take me five minutes.
kay		Two minutes!
edgar		Where is the animal?!
laurel		I told you, I don't know, it ran under some equipment! Over there.
edgar		Get it!
jay		Uh, hi.
laurel		 Hello.
jay		 I'm Sergeant Friday, from the Twenty-Sixth precinct. They brought a cat in here with a corpse the other day, might have said "Orion" on the cat's name tag?
laurel		Yes. That's right.
jay		Right, well, the cat is, uh -- the cat's a witness in a murder case and I'm going to need to take it with me.
laurel		I don't know where the cat is at the moment.
jay		You don't?
laurel		No.  Maybe you could take me with you instead.
jay		Excuse me?
laurel		I said, maybe you could take me with you instead.
jay		Damn, you do start fast, don't you?
laurel		I'd really like to go with you. Now.
jay		And, uh, why exactly is that?
laurel		I just do.
laurel		I have something I need to show you.
jay		Now slow down, you don't have to hit the gas like that.
laurel		You don't understand. You really need to see this.
jay		And I will. But we gotta get something straight here -- I'm gonna drive. It's not some kind of macho trip, it's just the way I'm used to doing things, okay?
laurel		Look, Stud, I don't know how many more times I'm going to get to tell you this. There's something --
kay		Freeze it, Bug!
jay		Don't shoot! Don't shoot!
laurel		 CHRIST, are you THICK!
jay		How was I supposed to know!?!
laurel		What did I have to do, SING it for you!?!
jay		Maybe if you didn't come on like a drunken prom date!
laurel		Oh, that's SO typical. Any time a woman shows the slightest hint of sexual independence, men just --
edgar		Everybody shut UP!
kay		Let her go, Shit Eater.
edgar		Listen, Monkey Boy, I may have to take that kind of talk in my end of the universe, but compared to you humans, I'm the top rung on the evolutionary ladder, so can it, all right?!
kay		You're breakin' my heart. Move six inches to your left and I'll solve all your problems.
edgar		That's better. Now put down your weapons. We're leaving.
kay		How far you think you'll get without your ship? If that's what you call that hunk of space crap we've got back at our office.
edgar		Put the weapons down!
kay		Never gonna happen, Insect.
jay		It's okay, Laurel!
laurel		HOW is it okay?!
jay		I mean it's going to be okay!
edgar		Don't bet on it, meat sack.
kay		Damn it!
edgar		Take me here.
laurel		What???
jay		They're in a cab.
jay		Hey! Laurel!? Hey!
kay		Stop wasting time. He's not getting off the planet in a cab.
kay		 Come with me. Put up a bio-net all the way around Manhattan; if it's not human, it's not leaving the island.
zed		Same thing: "Deliver the galaxy."
kay		Yeah, well the bug's got the galaxy, but we've got his ship. He's got to be looking for a way out.
jay		WHAT THE HELL ARE THEY SHOOTING AT US FOR?!
zed		Arquillian battle rules, kid. First we get an ultimatum, then a warning shot, then we have a galactic standard week to respond.
jay		A galactic standard week? How the hell long is that?
kay		One hour.
jay		One hour?
zed		To keep the bugs from getting it, the Arquillians will destroy the galaxy and whatever planet it's on.
jay		You're talking about US!
zed		Sucks, doesn't it?
kay		Pull up the locations of all land-based interstellar vehicles.
zed		They're all gone. Frank the Pug took the last ship on the planet.
kay		Atlantic City?
zed		Gone.
kay		That landfill on the Jersey Shore?
zed		Gone.
jay		Uh, gentlemen.
kay		Epcot?
zed		Gone.
kay		Miami Beach?
zed		Gone.
jay		Fellas.
kay		Hartford?
zed		Gone, thank God.
jay		Hey. Old guys.
edgar		You're coming with me.
laurel		What?! Why?!
edgar		It's a long trip. I'll need a snack.
kay		Whaddya say we bag us some bug?
jay		You're taking the tunnel?!
kay		You know a better way to Queens?
jay		It's usually jammed?!
jay		I told you!
kay		Jay. The button?
jay		Yeah?!
kay		Push the button, Jay.
kay		Mind if I smoke?
jay		What?!?
kay		In the car, I mean.
jay		I don't care!!
kay		Hey, just a common courtesy. It bothers some people if you smoke in a car.
kay		Yeah, it's harder and harder to smoke anywhere these days. Hell, I suppose I should quit. I've tried. Never took, though. I'm beginning to think I lack self-control.
kay		Well, back to work.
laurel		Come on, let me go, you don't want to eat me. I'm a very important person on my planet. Like a queen. A goddess, even. There are those who worship me, yes. I'm not trying to impress you with this, I'm just letting you know. It could start a war.
edgar		Good. War means food for my family, all seventy-eight million of them. That's a lot of mouths to feed, your highness.
laurel		You're a wonderful dad.
jay		You know how to work that?
kay		No idea whatsoever.
jay		Oh, shit.
kay		Set it to pulsar level five, sub-sonic implosion factor --
jay		What?
kay		Press the little green button, on three.
edgar		You don't get it. I've won. It's over.
kay		You are under arrest for violating number 4-1-53 of the Tycho accord. Please hand over any galaxy you might be carrying.
edgar		You milk-suckers! You don't matter! In a few seconds you won't even be matter!
kay		Move away from the vehicle and put your hands on your head.
edgar		Put my hands on my head?
bug		Like this?
jay		That did not go at all like I had planned.
kay		This guy's really starting to bug me.
kay		Whatever happens, Jay, don't let him get on that ship.
jay		Where are you going?
kay		Getting my gun back.
jay		What!?
kay		You're just a smear on the sports page to me, you slimy, gut-sucking, intestinal parasite! Eat me!
jay		Hey! Come over here and try that!
jay		Stop right there, or I'll start wailing on your waxy, pointed ass!
jay		What are you, afraid of me? Come on! Stand and fight like an arthropod!
jay		You're messing with the wrong species, Bug --
jay		Hey, Bug!
jay		What's that? Can you hear what he's saying? 'Help me! Help me!'
jay		Ooh! There's a pretty one. That one looks kinda familiar, don't you think? I know who that is!
bug		Don't do that!
jay		That's your Momma!
jay		You son of a --
kay		Zed. Get a message to the Arquillians.  We have the galaxy.
zed		I think the word's already out. Our friends are coming back.  Got an authorized landing at Times Square. You and Jay check it out on the way back... And pick me up one of those soft pretzels, while you're at it. Extra salt. I feel like celebrating.
